Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,ReLU,0.01,100,1,16,4.463099
5,1,100,0.5,Tanh,0.01,100,1,16,27.943628
5,1,100,0.5,Sigmoid,0.01,100,1,16,29.36679
5,1,100,0.5,Softmax,0.01,100,1,16,38.1668
5,1,100,0.5,GELU,0.01,100,1,16,4.352362
5,1,100,0.5,ReLU,0.01,100,2,16,9.505869
5,1,100,0.5,Tanh,0.01,100,2,16,27.424047
5,1,100,0.5,Sigmoid,0.01,100,2,16,28.743973
5,1,100,0.5,Softmax,0.01,100,2,16,38.19727
5,1,100,0.5,GELU,0.01,100,2,16,8.527775
5,1,100,0.5,ReLU,0.01,100,3,16,9.636369
5,1,100,0.5,Tanh,0.01,100,3,16,27.549133
5,1,100,0.5,Sigmoid,0.01,100,3,16,29.112911
5,1,100,0.5,Softmax,0.01,100,3,16,38.03293
5,1,100,0.5,GELU,0.01,100,3,16,12.339978
5,1,100,0.5,ReLU,0.01,100,4,16,11.684505
5,1,100,0.5,Tanh,0.01,100,4,16,27.087866
5,1,100,0.5,Sigmoid,0.01,100,4,16,29.340649
5,1,100,0.5,Softmax,0.01,100,4,16,37.94386
5,1,100,0.5,GELU,0.01,100,4,16,11.992149
5,1,100,0.5,ReLU,0.01,100,1,32,2.0636241
5,1,100,0.5,Tanh,0.01,100,1,32,19.729902
5,1,100,0.5,Sigmoid,0.01,100,1,32,21.876076
5,1,100,0.5,Softmax,0.01,100,1,32,38.1842
5,1,100,0.5,GELU,0.01,100,1,32,2.4687297
5,1,100,0.5,ReLU,0.01,100,2,32,5.0919123
5,1,100,0.5,Tanh,0.01,100,2,32,19.968185
5,1,100,0.5,Sigmoid,0.01,100,2,32,22.305384
5,1,100,0.5,Softmax,0.01,100,2,32,37.96095
5,1,100,0.5,GELU,0.01,100,2,32,3.7299185
5,1,100,0.5,ReLU,0.01,100,3,32,5.786541
5,1,100,0.5,Tanh,0.01,100,3,32,19.634214
5,1,100,0.5,Sigmoid,0.01,100,3,32,22.13589
5,1,100,0.5,Softmax,0.01,100,3,32,38.191483
5,1,100,0.5,GELU,0.01,100,3,32,4.5319934
5,1,100,0.5,ReLU,0.01,100,4,32,9.985202
5,1,100,0.5,Tanh,0.01,100,4,32,19.797697
5,1,100,0.5,Sigmoid,0.01,100,4,32,22.105299
5,1,100,0.5,Softmax,0.01,100,4,32,38.108604
5,1,100,0.5,GELU,0.01,100,4,32,6.8755164
5,1,100,0.5,ReLU,0.01,100,1,64,2.163326
5,1,100,0.5,Tanh,0.01,100,1,64,11.658798
5,1,100,0.5,Sigmoid,0.01,100,1,64,16.811672
5,1,100,0.5,Softmax,0.01,100,1,64,37.965427
5,1,100,0.5,GELU,0.01,100,1,64,1.432989
5,1,100,0.5,ReLU,0.01,100,2,64,2.6399994
5,1,100,0.5,Tanh,0.01,100,2,64,17.8432
5,1,100,0.5,Sigmoid,0.01,100,2,64,16.828491
5,1,100,0.5,Softmax,0.01,100,2,64,38.079357
5,1,100,0.5,GELU,0.01,100,2,64,2.9135256
5,1,100,0.5,ReLU,0.01,100,3,64,3.7767258
5,1,100,0.5,Tanh,0.01,100,3,64,17.776304
5,1,100,0.5,Sigmoid,0.01,100,3,64,16.80069
5,1,100,0.5,Softmax,0.01,100,3,64,37.965473
